mood_cluster,energy,valence,danceability,acousticness
0,0.8037324880224682,0.2931359842226995,0.47143959606806546,0.06781062063935238
1,0.24009524003067487,0.20620623571702454,0.37203500766871167,0.8131758609020322
2,0.7561732245681383,0.7045659788867562,0.6899976407549584,0.15792250996521115
3,0.4809701464956537,0.5252969606710838,0.6256775272019939,0.6375920996778311
